roi_value roi_name
2015 rh_fusiform_part3
2016 rh_fusiform_part4
2017 rh_fusiform_part5
2018 rh_inferiorparietal_part1
2019 rh_inferiorparietal_part2
2020 rh_inferiorparietal_part3
2021 rh_inferiorparietal_part4
2022 rh_inferiorparietal_part5
2023 rh_inferiorparietal_part6
2024 rh_inferiorparietal_part7
2025 rh_inferiorparietal_part8
2026 rh_inferiorparietal_part9
2027 rh_inferiorparietal_part10
2028 rh_inferiortemporal_part1
2029 rh_inferiortemporal_part2
2030 rh_inferiortemporal_part3
2031 rh_inferiortemporal_part4
2032 rh_inferiortemporal_part5
2033 rh_isthmuscingulate_part1
2034 rh_isthmuscingulate_part2
2035 rh_lateraloccipital_part1
2036 rh_lateraloccipital_part2
2037 rh_lateraloccipital_part3
2038 rh_lateraloccipital_part4
2039 rh_lateraloccipital_part5
2040 rh_lateraloccipital_part6
2041 rh_lateraloccipital_part7
2042 rh_lateraloccipital_part8
2043 rh_lateraloccipital_part9
2044 rh_lateralorbitofrontal_part1
2045 rh_lateralorbitofrontal_part2
2046 rh_lateralorbitofrontal_part3
2047 rh_lateralorbitofrontal_part4
2048 rh_lingual_part1
2049 rh_lingual_part2
2050 rh_lingual_part3
2051 rh_lingual_part4
2052 rh_lingual_part5
2053 rh_lingual_part6
2054 rh_medialorbitofrontal_part1
2055 rh_medialorbitofrontal_part2
2056 rh_medialorbitofrontal_part3
2057 rh_middletemporal_part1
2058 rh_middletemporal_part2
2059 rh_middletemporal_part3
2060 rh_middletemporal_part4
2061 rh_middletemporal_part5
2062 rh_middletemporal_part6
2063 rh_parahippocampal_part1
2064 rh_parahippocampal_part2
2065 rh_paracentral_part1
2066 rh_paracentral_part2
2067 rh_paracentral_part3
2068 rh_parsopercularis_part1
2069 rh_parsopercularis_part2
2070 rh_parsopercularis_part3
2071 rh_parsorbitalis_part1
2072 rh_parstriangularis_part1
2073 rh_parstriangularis_part2
2074 rh_parstriangularis_part3
2075 rh_pericalcarine_part1
2076 rh_pericalcarine_part2
2077 rh_pericalcarine_part3
2078 rh_postcentral_part1
2079 rh_postcentral_part2
2080 rh_postcentral_part3
2081 rh_postcentral_part4
2082 rh_postcentral_part5
2083 rh_postcentral_part6
2084 rh_postcentral_part7
2085 rh_postcentral_part8
2086 rh_posteriorcingulate_part1
2087 rh_posteriorcingulate_part2
2088 rh_precentral_part1
2089 rh_precentral_part2
2090 rh_precentral_part3
2091 rh_precentral_part4
2092 rh_precentral_part5
2093 rh_precentral_part6
2094 rh_precentral_part7
2095 rh_precentral_part8
2096 rh_precentral_part9
2097 rh_precuneus_part1
2098 rh_precuneus_part2
2099 rh_precuneus_part3
2100 rh_precuneus_part4
