roi_value	roi_name
2028	R_STV_ROI
2029	R_7Pm_ROI
2030	R_7m_ROI
2031	R_POS1_ROI
2032	R_23d_ROI
2033	R_v23ab_ROI
2034	R_d23ab_ROI
2035	R_31pv_ROI
2036	R_5m_ROI
2037	R_5mv_ROI
2038	R_23c_ROI
2039	R_5L_ROI
2040	R_24dd_ROI
2041	R_24dv_ROI
2042	R_7AL_ROI
2043	R_SCEF_ROI
2044	R_6ma_ROI
2045	R_7Am_ROI
2046	R_7PL_ROI
2047	R_7PC_ROI
2048	R_LIPv_ROI
2049	R_VIP_ROI
2050	R_MIP_ROI
2051	R_1_ROI
2052	R_2_ROI
2053	R_3a_ROI
2054	R_6d_ROI
2055	R_6mp_ROI
2056	R_6v_ROI
2057	R_p24pr_ROI
2058	R_33pr_ROI
2059	R_a24pr_ROI
2060	R_p32pr_ROI
2061	R_a24_ROI
2062	R_d32_ROI
2063	R_8BM_ROI
2064	R_p32_ROI
2065	R_10r_ROI
2066	R_47m_ROI
2067	R_8Av_ROI
2068	R_8Ad_ROI
2069	R_9m_ROI
2070	R_8BL_ROI
2071	R_9p_ROI
2072	R_10d_ROI
2073	R_8C_ROI
2074	R_44_ROI
2075	R_45_ROI
2076	R_47l_ROI
2077	R_a47r_ROI
2078	R_6r_ROI
2079	R_IFJa_ROI
2080	R_IFJp_ROI
2081	R_IFSp_ROI
2082	R_IFSa_ROI
2083	R_p9-46v_ROI
2084	R_46_ROI
2085	R_a9-46v_ROI
2086	R_9-46d_ROI
2087	R_9a_ROI
2088	R_10v_ROI
2089	R_a10p_ROI
2090	R_10pp_ROI
2091	R_11l_ROI
2092	R_13l_ROI
2093	R_OFC_ROI
2094	R_47s_ROI
2095	R_LIPd_ROI
2096	R_6a_ROI
2097	R_i6-8_ROI
2098	R_s6-8_ROI
2099	R_43_ROI
2100	R_OP4_ROI
2101	R_OP1_ROI
2102	R_OP2-3_ROI
2103	R_52_ROI
2104	R_RI_ROI
2105	R_PFcm_ROI
2106	R_PoI2_ROI
2107	R_TA2_ROI
2108	R_FOP4_ROI
2109	R_MI_ROI
2110	R_Pir_ROI
2111	R_AVI_ROI
2112	R_AAIC_ROI
2113	R_FOP1_ROI
2114	R_FOP3_ROI
2115	R_FOP2_ROI
2116	R_PFt_ROI
2117	R_AIP_ROI
2118	R_EC_ROI
2119	R_PreS_ROI
2120	R_H_ROI
2121	R_ProS_ROI
2122	R_PeEc_ROI
2123	R_STGa_ROI
2124	R_PBelt_ROI
2125	R_A5_ROI
2126	R_PHA1_ROI
2127	R_PHA3_ROI
2128	R_STSda_ROI
2129	R_STSdp_ROI
2130	R_STSvp_ROI
2131	R_TGd_ROI
2132	R_TE1a_ROI
2133	R_TE1p_ROI
2134	R_TE2a_ROI
2135	R_TF_ROI
2136	R_TE2p_ROI
2137	R_PHT_ROI
2138	R_PH_ROI
2139	R_TPOJ1_ROI
2140	R_TPOJ2_ROI
2141	R_TPOJ3_ROI
2142	R_DVT_ROI
2143	R_PGp_ROI
2144	R_IP2_ROI
2145	R_IP1_ROI
2146	R_IP0_ROI
2147	R_PFop_ROI
2148	R_PF_ROI
2149	R_PFm_ROI
2150	R_PGi_ROI
2151	R_PGs_ROI
2152	R_V6A_ROI
2153	R_VMV1_ROI
2154	R_VMV3_ROI
2155	R_PHA2_ROI
2156	R_V4t_ROI
2157	R_FST_ROI
2158	R_V3CD_ROI
2159	R_LO3_ROI
2160	R_VMV2_ROI
2161	R_31pd_ROI
2162	R_31a_ROI
2163	R_VVC_ROI
2164	R_25_ROI
2165	R_s32_ROI
2166	R_pOFC_ROI
2167	R_PoI1_ROI
2168	R_Ig_ROI
2169	R_FOP5_ROI
2170	R_p10p_ROI
2171	R_p47r_ROI
2172	R_TGv_ROI
2173	R_MBelt_ROI
2174	R_LBelt_ROI
2175	R_A4_ROI
2176	R_STSva_ROI
2177	R_TE1m_ROI
2178	R_PI_ROI
2179	R_a32pr_ROI
2180	R_p24_ROI
